,BoW,TF-IDF,Word2Vec,BoW_lemm,TF-IDF_lemm,Word2Vec_lemm
KNN,0.7974944062186037,0.7106668107640766,0.9426253147127458,0.7980997154076156,0.7150331624177944,0.9390608051042505
LogReg,0.9786851911892439,0.9760528117007097,0.9004027722740572,0.978947968826927,0.9763207928559705,0.9011043465382599
NaiveBayes,0.9671385856839224,0.9607178452633981,0.7918193698940483,0.9669788777213396,0.9609207824489354,0.7905410057198666
LinSVM,0.972690038466003,0.9811823792883989,0.9079721891998991,0.9729338032509978,0.9819185769580236,0.9101582669884842
